Date : 2023-10-11 16:46:33
Directory : /Users/tj.wetmore/Code/darta/monorepo
Total : 2669 files,  287201 codes, 78956 comments, 51433 blanks, all 417590 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Ruby               |      1,420 |    119,622 |     60,110 |     26,571 |    206,303 |
| C                  |        247 |     41,220 |      9,261 |      7,786 |     58,267 |
| TypeScript JSX     |        199 |     25,491 |      1,150 |      2,063 |     28,704 |
| YAML               |         91 |     23,741 |      1,681 |      2,929 |     28,351 |
| G-Code             |         50 |     16,518 |        624 |      2,246 |     19,388 |
| Markdown           |         74 |     15,125 |         10 |      6,384 |     21,519 |
| JSON               |        195 |     14,227 |        110 |         18 |     14,355 |
| TypeScript         |        141 |     11,597 |        364 |      1,146 |     13,107 |
| Java               |         19 |      6,293 |      3,351 |        675 |     10,319 |
| Properties         |         55 |      6,146 |         33 |         71 |      6,250 |
| C++                |         80 |      3,407 |      1,783 |        937 |      6,127 |
| Makefile           |         11 |      1,047 |         43 |        201 |      1,291 |
| Shell Script       |         12 |        559 |        120 |         93 |        772 |
| XML                |         17 |        490 |         28 |          7 |        525 |
| Log                |          2 |        317 |          0 |         33 |        350 |
| JavaScript         |         21 |        298 |         30 |         41 |        369 |
| JSON with Comments |         14 |        246 |         36 |          8 |        290 |
| Docker             |          4 |        172 |         24 |         41 |        237 |
| Perl               |          1 |        171 |        104 |         59 |        334 |
| Python             |          1 |        155 |          1 |         46 |        202 |
| Groovy             |          3 |        129 |         72 |         34 |        235 |
| Batch              |          1 |         70 |          0 |         22 |         92 |
| Ignore             |          6 |         51 |         12 |          3 |         66 |
| Diff               |          1 |         47 |          0 |          4 |         51 |
| Objective-C++      |          1 |         25 |          8 |         10 |         43 |
| HTML               |          2 |         21 |          1 |          2 |         24 |
| CSS                |          1 |         16 |          0 |          3 |         19 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                  |      2,669 |    287,201 |     78,956 |     51,433 |    417,590 |
| . (Files)                                                                                                                                                                          |         14 |     15,160 |         99 |      2,068 |     17,327 |
| .expo                                                                                                                                                                              |        173 |        182 |          0 |          2 |        184 |
| .expo (Files)                                                                                                                                                                      |          2 |         11 |          0 |          2 |         13 |
| .expo/web                                                                                                                                                                          |        171 |        171 |          0 |          0 |        171 |
| .expo/web/cache                                                                                                                                                                    |        171 |        171 |          0 |          0 |        171 |
| .expo/web/cache/development                                                                                                                                                        |        171 |        171 |          0 |          0 |        171 |
| .expo/web/cache/development/babel-loader                                                                                                                                           |        171 |        171 |          0 |          0 |        171 |
| .github                                                                                                                                                                            |          2 |         86 |          0 |         18 |        104 |
| .github/workflows                                                                                                                                                                  |          2 |         86 |          0 |         18 |        104 |
| charts                                                                                                                                                                             |         51 |      7,365 |      1,221 |        544 |      9,130 |
| charts (Files)                                                                                                                                                                     |          9 |        118 |          1 |          6 |        125 |
| charts/minio                                                                                                                                                                       |         37 |      6,598 |        268 |         68 |      6,934 |
| charts/minio (Files)                                                                                                                                                               |          7 |        305 |          0 |          9 |        314 |
| charts/minio/operator                                                                                                                                                              |         20 |      5,869 |         33 |         35 |      5,937 |
| charts/minio/operator (Files)                                                                                                                                                      |          4 |        139 |         33 |         20 |        192 |
| charts/minio/operator/templates                                                                                                                                                    |         16 |      5,730 |          0 |         15 |      5,745 |
| charts/minio/tenant                                                                                                                                                                |         10 |        424 |        235 |         24 |        683 |
| charts/minio/tenant (Files)                                                                                                                                                        |          4 |        147 |        231 |         18 |        396 |
| charts/minio/tenant/templates                                                                                                                                                      |          6 |        277 |          4 |          6 |        287 |
| charts/production                                                                                                                                                                  |          5 |        649 |        952 |        470 |      2,071 |
| dist                                                                                                                                                                               |          4 |         79 |          2 |          4 |         85 |
| dist/darta-styles                                                                                                                                                                  |          1 |         52 |          2 |          1 |         55 |
| dist/darta-styles/src                                                                                                                                                              |          1 |         52 |          2 |          1 |         55 |
| dist/darta-types                                                                                                                                                                   |          3 |         27 |          0 |          3 |         30 |
| dist/darta-types/src                                                                                                                                                               |          3 |         27 |          0 |          3 |         30 |
| install_sh_scripts                                                                                                                                                                 |          3 |         43 |         19 |         14 |         76 |
| old                                                                                                                                                                                |        101 |      6,696 |        825 |        682 |      8,203 |
| old/graph                                                                                                                                                                          |         10 |        251 |         15 |         52 |        318 |
| old/graph (Files)                                                                                                                                                                  |          3 |         44 |          1 |          1 |         46 |
| old/graph/src                                                                                                                                                                      |          7 |        207 |         14 |         51 |        272 |
| old/graph/src (Files)                                                                                                                                                              |          3 |         35 |          2 |          9 |         46 |
| old/graph/src/repositories                                                                                                                                                         |          4 |        172 |         12 |         42 |        226 |
| old/mobile                                                                                                                                                                         |         80 |      6,223 |        769 |        574 |      7,566 |
| old/mobile (Files)                                                                                                                                                                 |         10 |        340 |         11 |         35 |        386 |
| old/mobile/assets                                                                                                                                                                  |          3 |        510 |         24 |         25 |        559 |
| old/mobile/assets/data                                                                                                                                                             |          2 |        239 |         13 |          9 |        261 |
| old/mobile/assets/styles                                                                                                                                                           |          1 |        271 |         11 |         16 |        298 |
| old/mobile/firebase                                                                                                                                                                |          1 |         15 |          0 |          2 |         17 |
| old/mobile/functions                                                                                                                                                               |          2 |         39 |         25 |          8 |         72 |
| old/mobile/ios                                                                                                                                                                     |          7 |        235 |          9 |         16 |        260 |
| old/mobile/ios (Files)                                                                                                                                                             |          1 |         34 |          0 |          0 |         34 |
| old/mobile/ios/darta                                                                                                                                                               |          5 |        193 |          9 |         15 |        217 |
| old/mobile/ios/darta.xcworkspace                                                                                                                                                   |          1 |          8 |          0 |          1 |          9 |
| old/mobile/ios/darta.xcworkspace/xcshareddata                                                                                                                                      |          1 |          8 |          0 |          1 |          9 |
| old/mobile/patches                                                                                                                                                                 |          1 |         47 |          0 |          4 |         51 |
| old/mobile/src                                                                                                                                                                     |         56 |      5,037 |        700 |        484 |      6,221 |
| old/mobile/src (Files)                                                                                                                                                             |          2 |        342 |         11 |         29 |        382 |
| old/mobile/src/Camera                                                                                                                                                              |          6 |         42 |        520 |         56 |        618 |
| old/mobile/src/Camera (Files)                                                                                                                                                      |          5 |         42 |        301 |         36 |        379 |
| old/mobile/src/Camera/views                                                                                                                                                        |          1 |          0 |        219 |         20 |        239 |
| old/mobile/src/Components                                                                                                                                                          |         16 |      2,087 |         51 |        150 |      2,288 |
| old/mobile/src/Components/Darta                                                                                                                                                    |          5 |        727 |          7 |         57 |        791 |
| old/mobile/src/Components/User                                                                                                                                                     |         11 |      1,360 |         44 |         93 |      1,497 |
| old/mobile/src/Components/User (Files)                                                                                                                                             |          3 |        324 |          6 |         15 |        345 |
| old/mobile/src/Components/User/Carousel                                                                                                                                            |          2 |        115 |         12 |         11 |        138 |
| old/mobile/src/Components/User/SavedArtwork                                                                                                                                        |          3 |        313 |          0 |         35 |        348 |
| old/mobile/src/Components/User/SavedArtwork (Files)                                                                                                                                |          2 |        176 |          0 |         21 |        197 |
| old/mobile/src/Components/User/SavedArtwork/SavedArtworkDisplayComponents                                                                                                          |          1 |        137 |          0 |         14 |        151 |
| old/mobile/src/Components/User/UserArtworkDisplay                                                                                                                                  |          1 |        124 |          0 |          6 |        130 |
| old/mobile/src/Components/User/UserSettings                                                                                                                                        |          2 |        484 |         26 |         26 |        536 |
| old/mobile/src/GlobalElements                                                                                                                                                      |          8 |        115 |          9 |         32 |        156 |
| old/mobile/src/Navigators                                                                                                                                                          |          7 |        248 |          2 |         25 |        275 |
| old/mobile/src/Navigators (Files)                                                                                                                                                  |          3 |        135 |          0 |         10 |        145 |
| old/mobile/src/Navigators/Modals                                                                                                                                                   |          1 |         37 |          0 |          4 |         41 |
| old/mobile/src/Navigators/NavigationStyling                                                                                                                                        |          1 |         40 |          1 |          6 |         47 |
| old/mobile/src/Navigators/Routes                                                                                                                                                   |          2 |         36 |          1 |          5 |         42 |
| old/mobile/src/Screens                                                                                                                                                             |         16 |      1,823 |         89 |        156 |      2,068 |
